date,card_en,card_zh,grading_company,grade,psa_grade,price_usd,price_twd,exchange_rate,source,source_platform,listed_price_usd,actual_price_usd,original_price_display,sale_type,owned,url,source_url,data_origin,reconciled_from,rate_basis
2026-05-19,Pikachu (Jungle),2000叢林皮卡丘,PSA,8,PSA 8,83,2681,32.3,eBay,eBay,,83,,,,,,price_history.csv,,existing price_history.csv rate for date
2026-05-16,Pikachu (Jungle),2000叢林皮卡丘,PSA,10,PSA 10,850,27455,32.3,eBay,eBay,,850,,,,,,price_history.csv,,existing price_history.csv rate for date
2026-05-15,Alakazam,胡地,CGC,7,CGC 7,575,18573,32.3,eBay,eBay via 130point,575,575,$575.00 USD,Fixed Price,,https://ebay.com/itm/227312410899?nordt=true,https://ebay.com/itm/227312410899?nordt=true,combined_graded.xlsx,price_history.csv (2026-05-15),existing price_history.csv rate for date
2026-05-15,Ninetales,九尾,PSA,8,PSA 8,700,22610,32.3,eBay,eBay,,700,,,,,,price_history.csv,,existing price_history.csv rate for date
2026-05-15,Mew,2006 傳說締造者 夢幻,PSA,9,PSA 9,255,8237,32.3,eBay,eBay,,255,,,,,,price_history.csv,,existing price_history.csv rate for date
2026-05-11,Magikarp,鯉魚王,RAW,RAW,裸卡,180,5814,32.3,eBay,eBay,,180,,,,,,price_history.csv,,existing price_history.csv rate for date
2026-05-10,Charizard,噴火龍,PSA,6,PSA 6,4360,140828,32.3,eBay,eBay,,4360,,,,,,price_history.csv,,existing price_history.csv rate for date
2026-05-10,Pikachu (Jungle),2000叢林皮卡丘,PSA,9,PSA 9,120,3876,32.3,eBay,eBay,,120,,,,,,price_history.csv,,existing price_history.csv rate for date
2026-05-08,Magneton,三合一磁怪,PSA,8,PSA 8,400,12920,32.3,eBay,eBay,,400,,,,,,price_history.csv,,existing price_history.csv rate for date
2026-05-06,Pikachu (Jungle),2000叢林皮卡丘,PSA,9,PSA 9,140,4522,32.3,eBay,eBay,,140,,,,,,price_history.csv,,existing price_history.csv rate for date
2026-05-03,Nidoking,尼多王,PSA,9,PSA 9,1713,55330,32.3,eBay,eBay,,1713,,,,,,price_history.csv,,existing price_history.csv rate for date
2026-05-02,Pikachu (Jungle),2000叢林皮卡丘,PSA,9,PSA 9,125,4037,32.3,eBay,eBay,,125,,,,,,price_history.csv,,existing price_history.csv rate for date
2026-05-02,Pikachu (Jungle),2000叢林皮卡丘,PSA,9,PSA 9,80,2584,32.3,eBay,eBay,,80,,,,,,price_history.csv,,existing price_history.csv rate for date
2026-04-26,Pikachu (Jungle),2000叢林皮卡丘,PSA,9,PSA 9,69.6,2248,32.3,Fanatics,Fanatics,,69.6,,,,,,price_history.csv,,existing price_history.csv rate for date
2026-04-25,Nidoking,尼多王,PSA,8,PSA 8,550,17765,32.3,eBay,eBay,,550,,,,,,price_history.csv,,existing price_history.csv rate for date
2026-04-25,Squirtle,傑尼龜,PSA,9,PSA 9,310,10013,32.3,eBay,eBay,,310,,,,,,price_history.csv,,existing price_history.csv rate for date
2026-04-25,Squirtle,傑尼龜,PSA,9,PSA 9,225,7267,32.3,eBay,eBay,,225,,,,,,price_history.csv,,existing price_history.csv rate for date
2026-04-24,Squirtle,傑尼龜,PSA,9,PSA 9,215,6944,32.3,eBay,eBay via 130point,215,215,$215.00 USD,Fixed Price,,https://ebay.com/itm/227314102334?nordt=true,https://ebay.com/itm/227314102334?nordt=true,combined_graded.xlsx,price_history.csv (2026-04-24),existing price_history.csv rate for date
2026-04-19,Pikachu (Jungle),2000叢林皮卡丘,PSA,9,PSA 9,96,3101,32.3,Fanatics,Fanatics,,96,,,,,,price_history.csv,,existing price_history.csv rate for date
2026-04-12,Poliwrath,蚊香士,PSA,8,PSA 8,420,13566,32.3,Fanatics,Fanatics,420,420,$420,Auction,,https://www.fanaticscollect.com/weekly/64d24f98-3202-11f1-bfa9-0a58a9feac02,https://www.fanaticscollect.com/weekly/64d24f98-3202-11f1-bfa9-0a58a9feac02,combined_graded.xlsx,price_history.csv (2026-04-12),existing price_history.csv rate for date
2026-04-11,Chansey,吉利蛋,PSA,8,PSA 8,883,28521,32.3,eBay,eBay,,883,,,,,,price_history.csv,,existing price_history.csv rate for date
2026-04-06,Raichu,雷丘,PSA,8,PSA 8,420,13566,32.3,eBay,eBay,,420,,,,,,price_history.csv,,existing price_history.csv rate for date
2026-04-05,Blastoise,水箭龜,PSA,9,PSA 9,2760,89148,32.3,Fanatics,Fanatics,2760,2760,"$2,760",Auction,Auction,https://www.fanaticscollect.com/weekly/f802de02-26d3-11f1-ac88-0a58a9feac02,https://www.fanaticscollect.com/weekly/f802de02-26d3-11f1-ac88-0a58a9feac02,combined_graded.xlsx,price_history.csv (2026-04-05),existing price_history.csv rate for date
2026-04-05,Venusaur,妙蛙花,PSA,9,PSA 9,2190,70737,32.3,Fanatics,Fanatics,2190,2190,"$2,190",Auction,Auction,https://www.fanaticscollect.com/weekly/ef8032c0-26d3-11f1-aff5-065010a74285,https://www.fanaticscollect.com/weekly/ef8032c0-26d3-11f1-aff5-065010a74285,combined_graded.xlsx,price_history.csv (2026-04-05),existing price_history.csv rate for date
2026-04-05,Pikachu (Jungle),2000叢林皮卡丘,PSA,8.5,PSA 8.5,32.4,1047,32.3,Fanatics,Fanatics,,32.4,,,,,,price_history.csv,,existing price_history.csv rate for date
2026-04-03,Alakazam,胡地,PSA,8,PSA 8,650,20995,32.3,eBay,eBay,,650,,,,,,price_history.csv,,existing price_history.csv rate for date
2026-04-03,Machamp,怪力,PSA,8,PSA 8,420,13566,32.3,ALT,ALT,,420,,,,,,price_history.csv,,existing price_history.csv rate for date
2026-03-30,Nidoking,尼多王,PSA,8.5,PSA 8.5,650,20995,32.3,eBay,eBay,,650,,,,,,price_history.csv,,existing price_history.csv rate for date
2026-03-29,Venusaur,妙蛙花,PSA,9,PSA 9,2005,64761,32.3,eBay,eBay,,2005,,,,,,price_history.csv,,existing price_history.csv rate for date
2026-03-29,Zapdos,閃電鳥,PSA,9,PSA 9,1205,38922,32.3,eBay,eBay,,1205,,,,,,price_history.csv,,existing price_history.csv rate for date
2026-03-29,Chansey,吉利蛋,PSA,8,PSA 8,600,19380,32.3,eBay,eBay,,600,,,,,,price_history.csv,,existing price_history.csv rate for date
2026-03-29,Nidoking,尼多王,PSA,9,PSA 9,1863,60175,32.3,eBay,eBay,,1863,,,,,,price_history.csv,,existing price_history.csv rate for date
2026-03-29,Machamp,怪力,PSA,8,PSA 8,300,9690,32.3,eBay,eBay,,300,,,,,,price_history.csv,,existing price_history.csv rate for date
2026-03-29,Ninetales,九尾,PSA,10,PSA 10,10100,326230,32.3,eBay,eBay,,10100,,,,,,price_history.csv,,existing price_history.csv rate for date
2026-03-29,Raichu,雷丘,PSA,8,PSA 8,345,11143,32.3,eBay,eBay,,345,,,,,,price_history.csv,,existing price_history.csv rate for date
2026-03-29,Clefairy,皮皮,PSA,7,PSA 7,420,13566,32.3,eBay,eBay,,420,,,,,,price_history.csv,,existing price_history.csv rate for date
2026-03-29,Magneton,三合一磁怪,PSA,9,PSA 9,1575,50872,32.3,eBay,eBay,,1575,,,,,,price_history.csv,,existing price_history.csv rate for date
2026-03-29,Poliwrath,蚊香泳士(快泳蛙),PSA,9,PSA 9,1575,50872,32.3,eBay,eBay,,1575,,,,,,price_history.csv,,existing price_history.csv rate for date
2026-03-25,Magneton,三磁怪,PSA,7,PSA 7,150,4845,32.3,Fanatics,Fanatics,150,150,$150,Buy Now,,https://www.fanaticscollect.com/buy-now/d53a59ef-8ee6-488c-aca9-48d8af2b813e,https://www.fanaticscollect.com/buy-now/d53a59ef-8ee6-488c-aca9-48d8af2b813e,combined_graded.xlsx,price_history.csv (2026-03-25),existing price_history.csv rate for date
2026-03-24,Chansey,吉利蛋,PSA,8,PSA 8,400,12920,32.3,eBay,eBay,,400,,,,,,price_history.csv,,existing price_history.csv rate for date
2026-03-22,Blastoise,水箭龜,PSA,9,PSA 9,2950,95285,32.3,eBay,eBay,,2950,,,,,,price_history.csv,,existing price_history.csv rate for date
2026-03-22,Gyarados,暴鯉龍,PSA,9,PSA 9,520,16796,32.3,eBay,eBay,,520,,,,,,price_history.csv,,existing price_history.csv rate for date
2026-03-20,Bulbasaur,妙蛙種子,PSA,9,PSA 9,85,2745,32.3,eBay,eBay,,85,,,,,,price_history.csv,,existing price_history.csv rate for date
2026-03-18,Chansey,吉利蛋,PSA,8,PSA 8,287,9270,32.3,eBay,eBay,,287,,,,,,price_history.csv,,existing price_history.csv rate for date
2026-03-18,Gyarados,暴鯉龍,PSA,8,PSA 8,283,9141,32.3,eBay,eBay,,283,,,,,,price_history.csv,,existing price_history.csv rate for date
2026-03-15,Chansey,吉利蛋,PSA,7,PSA 7,290,9367,32.3,eBay,eBay,,290,,,,,,price_history.csv,,existing price_history.csv rate for date
2026-03-14,Pikachu,皮卡丘,PSA,9,PSA 9,871,28133,32.3,eBay,eBay,,871,,,,,,price_history.csv,,existing price_history.csv rate for date
2026-03-14,Nidoking,尼多王,PSA,7,PSA 7,430,13889,32.3,eBay,eBay,,430,,,,,,price_history.csv,,existing price_history.csv rate for date
2026-03-06,Zapdos,閃電鳥,PSA,8,PSA 8,550,17765,32.3,eBay,eBay,,550,,,,,,price_history.csv,,existing price_history.csv rate for date
2026-03-06,Clefairy,皮皮,PSA,8,PSA 8,350,11305,32.3,eBay,eBay,,350,,,,,,price_history.csv,,existing price_history.csv rate for date
2026-03-04,Hitmonchan,快拳郎(艾比郎),PSA,9,PSA 9,630,20349,32.3,eBay,eBay,,630,,,,,,price_history.csv,,existing price_history.csv rate for date
2026-02-27,Chansey,吉利蛋,PSA,8,PSA 8,280,9044,32.3,eBay,eBay,,280,,,,,,price_history.csv,,existing price_history.csv rate for date
2026-02-23,Charmander,小火龍,PSA,10,PSA 10,1500,48450,32.3,eBay,eBay,,1500,,,,,,price_history.csv,,existing price_history.csv rate for date
2026-02-17,Mewtwo,超夢,PSA,8,PSA 8,900,29070,32.3,eBay,eBay via 130point,1200,900,$900.00 USD,Best Offer Accepted,,https://ebay.com/itm/136943340955?nordt=true,https://ebay.com/itm/136943340955?nordt=true,combined_graded.xlsx,price_history.csv (2026-02-17),existing price_history.csv rate for date
2026-02-17,Hitmonchan,快拳郎(艾比郎),PSA,6,PSA 6,180,5814,32.3,eBay,eBay,,180,,,,,,price_history.csv,,existing price_history.csv rate for date
2026-02-09,Charmander,小火龍,PSA,8,PSA 8,175,5652,32.3,eBay,eBay via 130point,175,175,$175.00 USD,Fixed Price,,https://ebay.com/itm/136943484012?nordt=true,https://ebay.com/itm/136943484012?nordt=true,combined_graded.xlsx,price_history.csv (2026-02-09),existing price_history.csv rate for date
2026-02-09,Pikachu (Jungle),2000叢林皮卡丘,PSA,10,PSA 10,299,9658,32.3,Fanatics,Fanatics,,299,,,,,,price_history.csv,,existing price_history.csv rate for date
